371,HAC- CAD 3,,02-215
294,HAC- ELECTRONICS BASICS ,,05-105
374,HAC- GUIDED PRACTICE- SEWING,,
376,HAC- GUIDEDED PRACTICE- 3D PRINTING,,
375,HAC- GUIDEDED PRACTICE- LASER,,
282,HAC- L4L  MS SHOP SUPPORT EQUIPMENT,,09-130
341,"HAC- L4L GATHERING,RUFFLES AND PLEATS ",,12-125
326,HAC- L4L HEMMING & EDGING ,,12-115
362,HAC- L4L MIG ANGLE CUBE,,14-115
347,HAC- L4L MIG GAP PLATE,,14-110
324,HAC- L4L READING SEWING PATTERNS,,12-110
339,HAC- L4L SEWING MACHINE BASICS ,,12-105
346,HAC- L4L WELDING BASICS,,14-105
365,HAC- L4L WELDING COLLAB,,
363,HAC- L4L WELDING SHEET METAL 1,,14-120
328,HAC- L4L WOOD FINISHING,,15-305
298,HAC- L4L WOOD SHOP FUNDS 1,,15-105
358,HAC- L4L WOOD SHOP FUNDS 2,,15-110
345,HAC- L4L WOOD SHOP SAFETY,,15-110
359,HAC- L4L WORKING WITH WOOD SAWS,,15-115
340,"HAC- L4L ZIPPERS, PIPING AND BUTTON HOLES",,12-120
338,HAC- L4L- SEWING COLLABERATION,,
369,HAC- LASER CUTTING - PLASTICS,,08-115
266,HAC- LASER CUTTING BASICS,,08-105
288,HAC- LIFE CASTING 1- HANDS,,03-405
366,HAC- MACHINE SHOP HARDWARE ,,09-110
280,HAC- MACHINE SHOP SAFETY,,07-150
342,HAC- MACHINE SHOP SAFETY,,07-150
356,HAC- MANUAL LATHE BASICS,,09-160
310,HAC- MANUAL LATHE HANDS ON ,,09-170
364,HAC- MANUAL LATHE HANDS ON ,,09-170
307,HAC- MANUAL LATHE SET-UP & OPS,,09-165
357,HAC- MANUAL LATHE SET-UP &OPS,,09-165
354,HAC- MANUAL MILL HANDS ON,,09-150
285,HAC- MANUAL MILL SET-UP &OPS,,09-145
355,HAC- MANUAL MILL SETUP & OPS,,09-145
289,HAC- MIG WELDING BASICS,,14-105
329,HAC- MIG WELDING- ANGLE CUBE ,,14-115
325,HAC- MIG WELDING- ANGLE CUBE & GRILL,,14-115
281,"HAC- MS HAND TOOLS, POWER TOOLS & ABRASIVES",,09-125
287,HAC- MS MANUAL LATHE BASICS ,,09-160
284,HAC- MS MANUAL MILL BASICS,,09-140
286,HAC- MS MANUAL MILL HANDS-ON,,09-150
277,HAC- MS RAW MATERIALS BASICS,,09-105
278,HAC- MS SHOP DRAWINGS & PRINTS,,09-120
279,HAC- MS SHOP MATH & MEASURE,,09-115
373,HAC- PEPAKURA,,
322,HAC- PROGRAMMING BASICS,,11-105
337,HAC- RASPBERRY PI 2,,05-715
353,HAC- RASPBERRY PI 3,,05-720
318,HAC- RASPBERRY PI BASICS,,05-705
370,HAC- READING SEWING PATTERNS,,12-110
299,HAC- RESIN CASTING,,10-205
293,HAC- SEWING MACHINE BASICS ,,12-105
344,HAC- SHOP SUPPORT EQUIPMENT,,09-130
336,HAC- TUBING BASICS ,,14-150
327,HAC- WOOD LATHE 1- SPINDLE TURNING,,15-205
352,HAC- WOOD SHOP FUNDS 1 ,,15-105
317,HAC- WOOD SHOP FUNDS 2,,15-110
323,HAC- WORKING WITH WOOD SAWS,,15-115
367,HAC- Worbla,,10-105
343,"HAC-09-125 HAND TOOLS, POWER TOOLS & ABRASIVES",,09-125
283,HAC-09-135 MANUAL MILL & LATHE TOOLING,,09-135
301,HAC-09-140 MANUAL MILL BASICS ,,09-140
360,HAC-L4L WOOD LATHE 1 ,,15-205
295,HAC-L4L-TUBING BASICS,,14-150
316,HAC-MIG WELDING GAP PLATE,,14-110
320,HAI- Graphics 1 Corel Draw,,02-405
372,L4L COLLAB- WELDING REFRESHER,,
321,L4L- HAC WOOD SHOP SAFETY,,15-110
330,"L4L- HAC ZIPPERS,PIPING & BUTTON HOLES",,12-120
314,L4L- HAC- Manual Mill Basics,,09-140
308,L4L- HAC- SHOP SUPPORT EQUIPMENT ,,09-130
313,L4L- HAC- Sheet Metal & Fabrication Basics,,14-405
334,L4L- HAC- WELDING SHEET METAL BASICS,,14-120
273,L4L-HAC MIG WELDING -GAP PLATE ,,14-110
292,L4L-HAC SEWING BASICS,,12-105
302,L4L-HAC- LASER CUTTING BASICS -,,08-105
305,L4L-HAC- MIG ANGLE CUBE & GRILL,,14-115
274,L4L-HAC- MIG WELDING BASICS,,14-105
275,L4L-HAC- MS HARDWARE,,09-110
272,L4L-HAC- RAW MATERIALS ,,09-105
331,"L4L-HAC- RUFFLES, FLOUNCES & PEPLUMS",,12-125
306,L4L-HAC- SHOP DRAWINGS & PRINTS,,09-120
300,L4L-HAC- SHOP MATH & MEASURE,,09-115
296,L4L-HAC- WOOD SAWS BASICS,,15-115
276,L4L-HAC- WOOD SHOP FUNDAMENTALS 1,,15-105
291,L4L-HAC- WOOD SHOP FUNDAMENTALS 2,,15-110
309,L4L-HAC-MIG TUBING BASICS,,14-150
106,Laser Cutting & Engraving Basics Workshop,,08-105
107,MIG Welding Basics Workshop,,14-105
33,MSB195 - Make & Take Basic Test Project,MSB195,
270,Machine Shop Hybrid 09-105/110,,
271,Machine Shop Hybrid 09-115/120,,
297,Makerspace Day,,
86,Member's Social,,
129,Mill Access,,
259,PRIVATE EVENT-HAC,,
262,Private Event-Invite Only,,
269,Private Machine Shop Classes,,
315,Sewing Machine Basics -Circle Skirt Edition,,
59,Summer Sewing Camp,,
311,Test 1,,
348,Test 2,,
349,Test 3,,
35,WSB110 - Power Sanding & Abrasives,WSB110,15-110
36,WSB115 - The Four Main Machines,WSB115,15-120
94,WSB117 - Make a Cutting Board,WSB117,
37,WSB120 - Tool Sharpening Basics,WSB120,
38,WSB125 - Box Building & Spline Miter,WSB125,
39,WSB130 -- Box Building & Box Joint,,
40,WSB135 -  Table Building,WSB135,
41,WSB140 - The Four Routers ,WSB140,
43,WSB150 - Woodturning Spindles,WSB150,15-205
44,WSB155 - Woodturning - Open Sided Turning,WSB155,15-210
58,WSB160 - Woodturning - Containers,WSB160,15-215
64,WSI205 - Make a Cutting Board,WSI205,
65,Woodshop Open Collaboration,,
53,vghfvbn,,
